spotify_track_id,songid,performer,song,spotify_track_album,spotify_track_explicit,first_chart_appearance,peak_position,weeks_on_chart
0ztx9RtN72NDMcjtTaZroj,I'm In LoveLisa Keith,Lisa Keith,I'm In Love,Walkin' In The Sun,false,1994-01-22,84,3
7LA65XN3XINyDpn454otUO,I Walk The LineCraig Wayne Boyd,Craig Wayne Boyd,I Walk The Line,The Complete Season 7 Collection (The Voice Performance),false,2014-12-13,84,1
30Zcjs7pgEkmJA1lEbGSWT,FMLKanye West,Kanye West,FML,The Life Of Pablo,true,2016-04-23,84,1
4vqZep7dEFi5MOByjUV6sX,Let The Good Times RollRoy Orbison,Roy Orbison,Let The Good Times Roll,The Monument Singles Collection,false,1965-11-13,85,3
247LjOYYHS4qdiv9u1FOxH,Nearer To YouBetty Harris,Betty Harris,Nearer To You,Betty Harris: The Lost Queen of New Orleans Soul,false,1967-07-29,99,4
5EvmhOIdCZ8kGMuvZDbgts,I Don't Need No DoctorHumble Pie,Humble Pie,I Don't Need No Doctor,Live '73,false,1971-09-25,93,8
2xGCOSfy4DzOaiQhPXIX6T,"Music BoxEvelyn ""Champagne"" King","Evelyn ""Champagne"" King",Music Box,"Love Come Down: The Best of Evelyn ""Champagne"" King",false,1979-05-26,85,6
37VVC5u7gZNE8QF15bF9Hi,I'm Happy Just To Dance With YouAnne Murray,Anne Murray,I'm Happy Just To Dance With You,Somebody's Waiting,false,1980-06-14,85,6
04ePIeMAhtRjpeq3CCwyh5,Hunters Of The NightMr. Mister,Mr. Mister,Hunters Of The Night,I Wear The Face,false,1984-03-17,85,8
2571NtXJ1kC7McY9ThEsgH,I PretendKim Carnes,Kim Carnes,I Pretend,Essential,false,1984-05-19,85,5
0xG0R8KUwRcXgmveVvbnwn,Jimmy Olsen's BluesSpin Doctors,Spin Doctors,Jimmy Olsen's Blues,Pocket Full Of Kryptonite (Anniversary Edition),false,1993-10-09,85,9
433m5xRcVM3jFm3IuijkKs,I Will Go With You (Con Te Partiro)Donna Summer,Donna Summer,I Will Go With You (Con Te Partiro),VH1 Presents Live & More Encore!,false,1999-07-24,85,9
6YU50PnvwrjNjPE20GzTNk,Hello TomorrowSqueak E. Clean Featuring Karen O,Squeak E. Clean Featuring Karen O,Hello Tomorrow,Hello Tomorrow (Adidas Version),false,2005-04-30,85,1
6YMZ5TzoHef74i0q2H3rFZ,I Wrote A Simple SongBilly Preston,Billy Preston,I Wrote A Simple Song,I Wrote A Simple Song,false,1972-01-22,86,5
6zSzIQXSkwGsdqyEctbVp9,Girls TalkDave Edmunds,Dave Edmunds,Girls Talk,Repeat When Necessary,false,1979-09-01,86,6
3pKGrhdczTPDqOGwOtCehA,MathematicsMelissa Manchester,Melissa Manchester,Mathematics,Mathematics,false,1985-04-27,86,5
0JCfCejthxiZXGhidSpaYr,"If You Don't Want My Lovin'Carl Dobkins, Jr.","Carl Dobkins, Jr.",If You Don't Want My Lovin',Pony Tail Girl,false,1959-10-10,87,3
6Kb7YCmwoFGzbAXBSUWNTv,I'm Gonna Move To The Outskirts Of TownRay Charles,Ray Charles,I'm Gonna Move To The Outskirts Of Town,Ray Charles Forever,false,1961-06-17,87,2
7vYpMAhNCvBFNWXTLQXgtN,Love Me AgainRita Coolidge,Rita Coolidge,Love Me Again,Love Me Again,false,1978-11-04,87,7
7vm7Bd52OsZmxk3yWulR2u,In TheeBlue Oyster Cult,Blue Oyster Cult,In Thee,Mirrors,false,1979-09-08,87,4
1KzxCdjKTNAm7xaN4l3aT9,Lady Down On LoveAlabama,Alabama,Lady Down On Love,"Ultimate Alabama 20 # 1 Hits",false,1983-10-29,87,6
2L2EkSWBNZbaDj3iaepHhj,Is That It?Katrina And The Waves,Katrina And The Waves,Is That It?,Anthology,false,1986-04-05,87,8
49iHYFjT5yO6WEw6KerX9o,Grandma Got Run Over By A ReindeerElmo & Patsy,Elmo & Patsy,Grandma Got Run Over By A Reindeer,Grandma Got Run Over By A Reindeer,false,1998-01-10,87,1
0pqXmjMhNVD9oq00BpB2tm,My Baby's Guns N' RosesBrantley Gilbert,Brantley Gilbert,My Baby's Guns N' Roses,Just As I Am (Platinum Edition),false,2014-05-17,87,1
20n5AhSbetBMt6Xbrm4fa7,Look At My DabMigos,Migos,Look At My Dab,Look At My Dab,true,2016-03-12,87,1
4lD1obJ7EeHuKwpKJHIPIr,Magic Moon (Clair De Lune)The Rays,The Rays,Magic Moon (Clair De Lune),Doo-Wop - The Golden Age 1956-1963,false,1961-08-12,88,8
4vNFOzjhbd6b35iGTp04Xu,Just Got To KnowJimmy McCracklin,Jimmy McCracklin,Just Got To Know,Yesterday Is Gone,false,1961-12-09,88,8
3jrTfnVy0xQ6mPJVxnuUUL,Little Boy (In Grown Up Clothes)The 4 Seasons,The 4 Seasons,Little Boy (In Grown Up Clothes),Jersey Beat: The Music Of Frankie Valli and The Four Seasons,false,1965-12-25,88,6
4Tn0B9HGfhYT9rq6uKdDjp,I Believe I'm Gonna Make ItJoe Tex,Joe Tex,I Believe I'm Gonna Make It,Greatest Hits,false,1966-07-23,88,5
